Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Trail Running,2021-06-11 15:12:45,true,"Piatra Neamt Trail Running","19.14","1,463","02:43:46","123","167","3.5","139","224","8:33","4:58","1,169","1,166","0.81","10.5","8.3","351","48.5% L / 51.5% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","No","00:46.30.7","20","0.0","30","17","50","02:39:18","02:49:40","346","653"
Trail Running,2021-06-10 17:28:34,true,"Piatra Neamt Trail Running","12.46","791","01:33:43","116","139","2.5","153","256","7:31","4:47","606","601","0.84","10.1","8.2","327","46.9% L / 53.1% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","No","02:29.17.9","13","0.0","29","15","40","01:32:48","01:33:43","328","642"
Trail Running,2021-06-09 18:24:18,true,"Piatra Neamt Trail Running","10.04","814","01:18:59","134","161","3.1","145","218","7:52","4:44","631","628","0.85","9.8","8.2","311","47.4% L / 52.6% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","No","00:13.17.7","11","0.0","34","22","45","01:18:31","01:18:59","346","641"
Trail Running,2021-06-09 15:43:27,true,"Piatra Neamt Trail Running","20.04","1,179","02:06:01","129","145","3.2","165","207","6:17","4:18","461","455","0.96","8.3","8.0","291","47.6% L / 52.4% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","No","00:12.68.2","21","0.0","34","19","46","02:03:25","02:06:01","330","672"
Cycling,2021-06-08 16:56:11,true,"Piatra Neamt Cycling","41.28","605","01:41:31","105","145","1.9","0","0","24.4","39.9","386","384","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","No","03:30.35.2","9","0.0","25","13","39","01:41:03","01:41:31","330","397"
Trail Running,2021-06-06 08:41:46,true,"Piatra Neamt Trail Running","18.15","1,371","02:38:33","123","159","3.2","136","256","8:44","2:46","1,187","1,185","0.83","10.2","8.2","358","48.3% L / 51.7% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","No","00:47.01.6","19","0.0","30","15","41","02:33:28","02:38:33","346","642"
Trail Running,2021-06-05 10:12:22,true,"Tasca Trail Running","31.19","1,902","03:47:03","125","144","3.4","146","256","7:17","4:40","863","880","0.91","9.4","8.4","313","48.3% L / 51.7% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","16.0","0:00","No","01:18.30.4","32","0.0","31","13","52","03:37:04","03:47:03","535","1,355"
Cycling,2021-06-03 16:34:13,true,"Piatra Neamt Cycling","39.21","983","02:28:21","109","150","2.6","0","0","15.9","38.8","861","903","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","No","10:55.97.3","8","0.0","26","12","41","02:20:54","02:28:21","301","643"
Trail Running,2021-06-02 18:18:04,true,"Piatra Neamt Trail Running","13.03","854","01:22:05","134","167","3.3","169","227","6:18","3:22","515","519","0.91","9.1","8.2","268","46.0% L / 54.0% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","12.0","0:00","No","00:09.29.1","14","0.0","33","16","44","01:21:14","01:22:05","341","645"
Trail Running,2021-06-01 13:15:52,true,"Piatra Neamt Trail Running","16.15","1,261","02:07:57","135","163","3.7","145","214","7:55","4:38","1,159","1,158","0.83","10.1","8.3","362","48.3% L / 51.7% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","14.0","0:00","No","00:49.54.4","17","0.0","35","15","48","02:06:08","02:07:57","347","642"
Hiking,2021-05-30 10:34:05,true,"Tasca Hiking","15.03","1,314","04:18:08","85","152","1.7","81","248","17:10","7:16","884","889","0.71","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","15.0","0:00","No","04:18:07.54.2","1","0.0","21","12","34","03:25:08","04:18:08","629","1,356"
Trail Running,2021-05-29 10:13:21,true,"Piatra Neamt Trail Running","27.03","2,052","03:30:03","142","167","4.5","143","256","7:46","4:27","1,773","1,812","0.88","10.3","8.8","364","47.7% L / 52.3% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","No","00:09.04.1","28","0.0","35","19","46","03:26:45","03:30:03","300","637"
Trail Running,2021-05-27 18:13:05,true,"Piatra Neamt Trail Running","12.21","841","01:22:35","136","157","3.3","160","255","6:46","3:27","627","622","0.87","9.9","8.3","312","47.7% L / 52.3% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","No","01:00.79.9","13","0.0","33","13","41","01:22:26","01:22:35","346","646"
Trail Running,2021-05-26 18:25:12,true,"Piatra Neamt Trail Running","13.09","857","01:26:41","131","165","3.1","165","233","6:37","3:13","550","545","0.90","9.3","8.0","289","47.0% L / 53.0% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","16.0","0:00","No","00:24.64.8","14","0.0","32","21","44","01:26:02","01:26:41","346","647"
Cycling,2021-05-25 16:48:24,true,"Piatra Neamt Cycling","20.76","723","01:37:47","116","166","3.2","0","0","12.7","32.0","618","608","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","No","04:13.46.4","5","0.0","28","12","52","01:32:04","01:37:47","326","647"
Hiking,2021-05-23 10:17:05,true,"Gârcina Hiking","19.95","1,645","05:15:06","85","119","2.1","79","180","15:48","6:30","795","783","0.80","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","No","05:15:06.43.7","1","0.0","21","12","33","03:55:29","05:15:06","557","1,066"
Cycling,2021-05-23 09:08:42,true,"Piatra Neamt Cycling","19.25","474","01:01:02","114","138","2.0","0","0","18.9","32.0","378","110","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","No","12:06.11.1","4","0.0","28","15","38","00:59:25","01:02:41","289","559"
Trail Running,2021-05-22 09:46:11,true,"Piatra Neamt Trail Running","23.01","1,723","02:55:43","137","167","4.3","153","256","7:38","4:37","1,298","1,336","0.83","9.9","8.1","332","48.2% L / 51.8% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","No","00:52.26.4","24","0.0","34","18","50","02:52:02","02:55:43","307","675"
Cycling,2021-05-20 15:26:23,true,"Piatra Neamt Cycling","42.24","1,083","02:45:27","110","151","2.4","0","0","15.3","39.3","1,075","1,078","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","16.0","0:00","No","09:50.64.5","9","0.0","26","11","48","02:43:40","02:51:58","324","648"
Trail Running,2021-05-19 18:17:28,true,"Piatra Neamt Trail Running","13.05","884","01:25:23","135","171","3.4","168","256","6:33","3:19","588","586","0.91","9.1","7.9","289","47.4% L / 52.6% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","16.0","0:00","No","00:13.92.8","14","0.0","32","18","45","01:23:35","01:25:23","346","644"
Cycling,2021-05-18 17:19:28,true,"Piatra Neamt Cycling","27.03","712","01:32:12","114","148","2.6","0","0","17.6","39.2","652","655","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","No","06:38.06.3","6","0.0","28","11","43","01:31:36","01:35:39","323","641"
Hiking,2021-05-17 18:35:46,true,"Piatra Neamt Hiking","6.01","476","01:19:30","78","102","1.5","104","244","13:14","8:48","290","289","0.73","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","No","01:19:29.63.7","1","0.0","20","11","33","01:15:08","01:19:30","346","637"
Hiking,2021-05-16 10:24:27,true,"Alexandru cel Bun Hiking","15.71","1,294","03:51:21","86","125","2.1","89","249","14:43","8:28","762","750","0.76","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","No","03:51:21.24.8","1","0.0","21","11","34","03:13:05","03:51:21","538","1,014"
Cycling,2021-05-16 09:06:08,true,"Piatra Neamt Cycling","20.48","698","00:58:34","138","164","3.5","0","0","21.0","40.4","519","146","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","No","02:20.53.5","5","0.0","36","13","49","00:57:12","01:00:45","329","740"
Trail Running,2021-05-15 10:09:14,true,"Piatra Neamt Trail Running","21.21","1,478","02:37:57","135","170","3.8","148","226","7:27","4:33","1,146","1,135","0.87","10.5","8.8","347","48.1% L / 51.9% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","No","01:02.89.6","22","0.0","33","19","45","02:37:41","02:37:57","346","652"
Trail Running,2021-05-13 18:35:53,true,"Piatra Neamt Trail Running","11.01","744","01:06:49","138","167","3.4","178","218","6:04","4:28","400","396","0.90","9.2","8.0","271","46.3% L / 53.7% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","No","00:02.31.5","12","0.0","36","19","51","01:06:13","01:06:49","330","655"
Cycling,2021-05-12 13:26:39,true,"Piatra Neamt Cycling","15.07","569","01:20:08","111","166","3.1","0","0","11.3","25.9","563","557","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","No","00:28.87.1","4","0.0","28","12","51","01:17:38","01:22:34","329","645"
Trail Running,2021-05-11 18:35:10,true,"Piatra Neamt Trail Running","10.63","718","01:04:36","139","168","3.5","182","214","6:05","4:32","380","375","0.88","8.3","7.3","264","47.1% L / 52.9% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","No","03:04.85.6","11","0.0","36","17","45","01:04:25","01:04:36","329","642"
Hiking,2021-05-10 18:14:48,true,"Piatra Neamt Hiking","7.13","551","01:34:31","90","121","1.9","106","250","13:15","8:48","327","327","0.71","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","No","01:34:30.54.8","1","0.0","--","--","--","01:33:43","01:34:31","338","634"
Trail Running,2021-05-09 09:21:23,true,"Piatra Neamt Trail Running","32.01","2,072","03:34:05","137","161","4.6","157","256","6:41","4:14","872","873","0.93","8.9","8.1","291","47.0% L / 53.0% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","15.0","0:00","No","00:25.91.2","33","0.0","33","11","47","03:22:20","03:40:09","330","676"
Hiking,2021-05-08 12:12:47,true,"Piatra Neamt Hiking","8.03","676","02:13:23","78","115","1.4","88","239","16:37","8:53","473","472","0.68","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","14.0","0:00","No","02:13:23.40.9","1","0.0","19","11","30","01:53:28","02:13:23","329","786"
Hiking,2021-05-07 18:01:05,true,"Piatra Neamt Hiking","5.58","494","01:33:25","89","130","1.0","86","241","16:44","9:27","335","342","0.70","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","No","01:33:25.49.2","1","0.0","--","--","--","01:16:07","01:33:25","336","633"
Trail Running,2021-05-06 17:16:58,true,"Piatra Neamt Trail Running","14.01","979","01:44:24","129","150","3.2","155","256","7:27","4:21","847","842","0.84","10.5","8.6","338","47.7% L / 52.3% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","15.0","0:00","No","00:03.74.9","15","0.0","30","14","41","01:44:04","01:44:24","345","813"
Trail Running,2021-05-05 17:30:20,true,"Piatra Neamt Trail Running","10.31","748","01:15:02","134","164","3.1","157","224","7:17","3:50","622","620","0.85","9.2","7.6","299","47.0% L / 53.0% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","No","01:23.31.3","11","0.0","32","14","41","01:14:32","01:15:02","346","643"
Cycling,2021-05-04 16:39:49,true,"Piatra Neamt Cycling","21.58","671","01:52:22","105","160","2.7","0","0","11.5","29.3","523","515","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","No","04:48.25.6","5","0.0","23","11","43","01:41:24","01:52:22","329","679"
Trail Running,2021-05-02 09:24:10,true,"Bicaz Trail Running","30.04","2,490","04:07:00","145","168","5.0","145","256","8:13","4:10","1,551","1,541","0.82","11.4","8.9","356","47.9% L / 52.1% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","14.0","0:00","No","00:11.01.9","31","0.0","36","22","50","03:59:29","04:07:01","814","1,901"
Trail Running,2021-04-30 17:30:59,true,"Piatra Neamt Trail Running","11.06","894","01:28:58","135","169","3.6","153","256","8:03","4:58","683","685","0.81","9.9","8.0","319","47.1% L / 52.9% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","No","00:19.08.3","12","0.0","34","17","49","01:23:29","01:28:58","342","634"
Cycling,2021-04-29 16:55:41,true,"Piatra Neamt Cycling","17.16","737","01:28:46","124","168","3.4","0","0","11.6","23.3","697","691","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","No","07:41.50.7","4","0.0","30","10","51","01:27:04","01:28:46","327","653"
Hiking,2021-04-28 17:12:28,true,"Piatra Neamt Hiking","7.15","585","01:28:05","105","147","2.1","110","250","12:19","5:48","343","342","0.74","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","10.0","0:00","No","01:28:04.50.9","1","0.0","19","19","19","01:25:18","01:28:05","346","652"
Trail Running,2021-04-27 16:57:01,true,"Piatra Neamt Trail Running","12.38","1,049","01:39:27","141","173","4.0","165","248","8:02","3:07","924","929","0.74","10.0","7.3","291","47.5% L / 52.5% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","9.0","0:00","No","02:12.75.7","13","0.0","35","19","50","01:38:59","01:39:27","340","651"
Strength Training,2021-04-27 13:02:19,true,"Strength","0.00","24","00:02:58.9","111","135","0.3","0","0","--","--","--","--","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","37","1","0:00","26.0","0:00","No","02:58.85","1","0.0","14","14","14","00:02:58.9","00:02:58.9","--","--"
Trail Running,2021-04-26 16:38:45,true,"Piatra Neamt Trail Running","11.41","759","01:15:02","133","164","3.1","161","218","6:34","3:19","480","475","0.91","9.5","8.6","304","47.2% L / 52.8% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","11.0","0:00","No","02:08.14.3","12","0.0","32","15","42","01:14:41","01:15:02","346","666"
Hiking,2021-04-25 14:30:09,true,"Piatra Neamt Hiking","6.47","518","01:32:44","98","126","1.6","90","250","14:20","8:09","347","343","0.78","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","No","01:32:44.09.4","1","0.0","--","--","--","01:26:01","01:32:44","345","643"
Strength Training,2021-04-25 12:57:17,true,"Strength","0.00","22","00:03:02.2","104","122","0.2","0","0","--","--","--","--","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","31","1","0:00","27.0","0:00","No","03:02.19.9","1","0.0","--","--","--","00:03:02.2","00:03:02.2","--","--"
Trail Running,2021-04-24 16:41:08,true,"Piatra Neamt Trail Running","13.89","931","01:36:45","131","160","3.1","156","223","6:58","2:40","639","634","0.90","9.5","8.2","307","47.3% L / 52.7% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","12.0","0:00","No","04:36.64.8","14","0.0","31","17","41","01:34:07","01:36:45","329","650"
Hiking,2021-04-23 17:17:28,true,"Piatra Neamt Hiking","7.18","553","01:30:10","86","110","2.0","110","250","12:33","6:13","338","335","0.73","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","14.0","0:00","No","01:30:10.12.8","1","0.0","23","15","32","01:29:25","01:30:10","346","649"
Trail Running,2021-04-22 15:48:46,true,"Piatra Neamt Trail Running","16.47","1,167","01:45:30","145","174","4.5","168","212","6:24","4:01","695","700","0.91","9.3","8.3","273","46.6% L / 53.4% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","No","02:34.21.2","17","0.0","36","19","49","01:45:04","01:45:30","329","644"
Hiking,2021-04-21 18:12:37,true,"Piatra Neamt Hiking","6.44","504","01:21:36","99","125","1.9","106","246","12:40","6:57","307","303","0.74","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","16.0","0:00","No","01:21:36.06.5","1","0.0","--","--","--","01:20:51","01:21:36","346","649"
Trail Running,2021-04-20 14:33:46,true,"Piatra Neamt Trail Running","15.13","993","01:28:01","144","170","4.0","171","208","5:49","4:25","526","524","0.97","8.8","8.7","265","46.5% L / 53.5% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","14.0","0:00","No","00:33.80.7","16","0.0","35","16","47","01:27:52","01:28:01","331","667"
Hiking,2021-04-19 17:32:29,true,"Piatra Neamt Hiking","6.05","409","01:15:03","96","122","1.2","102","244","12:25","8:43","124","119","0.79","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","14.0","0:00","No","01:15:02.54.4","1","0.0","--","--","--","01:11:39","01:15:03","343","460"
Trail Running,2021-04-18 11:14:27,true,"Piatra Neamt Trail Running","5.20","410","00:39:43","127","165","2.9","154","204","7:38","5:12","340","335","0.83","10.5","8.7","335","47.1% L / 52.9% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","13.0","0:00","No","01:15.40.3","6","0.0","33","18","47","00:39:24","00:40:32","339","636"
Trail Running,2021-04-17 07:36:04,true,"Piatra Neamt Trail Running","30.06","1,756","02:57:44","141","166","4.2","167","222","5:55","0:54","689","693","0.99","8.8","8.8","266","47.4% L / 52.6% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","10.0","0:00","No","00:15.34.2","31","0.0","33","17","49","02:57:37","02:57:44","326","713"
Cycling,2021-04-16 17:30:15,true,"Piatra Neamt Cycling","21.06","690","01:27:56","119","161","3.1","0","0","14.4","30.0","598","598","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","13.0","0:00","No","02:42.80.2","5","0.0","28","11","46","01:27:39","01:29:30","316","641"
Hiking,2021-04-15 15:04:19,true,"Piatra Neamt Hiking","7.22","566","01:33:21","87","110","2.0","110","250","12:55","7:14","340","333","0.70","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","14.0","0:00","No","01:33:21.21.2","1","0.0","22","13","32","01:32:24","01:33:21","346","653"
Trail Running,2021-04-14 13:44:10,true,"Piatra Neamt Trail Running","12.02","867","01:16:21","141","170","3.6","157","240","6:21","3:33","496","490","0.96","8.2","7.8","309","48.3% L / 51.7% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","11.0","0:00","No","00:06.64.4","13","0.0","34","14","43","01:15:14","01:16:21","346","651"
Cycling,2021-04-13 16:22:36,true,"Piatra Neamt Cycling","17.46","750","01:37:33","121","169","3.4","0","0","10.7","29.1","603","597","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","No","18:38.51.4","4","0.0","29","12","52","01:31:37","01:37:33","329","654"
Hiking,2021-04-12 17:19:22,true,"Piatra Neamt Hiking","6.98","464","01:23:21","81","102","1.4","108","250","11:57","6:51","148","141","0.77","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","No","01:23:20.95.9","1","0.0","20","10","31","01:20:17","01:23:21","338","474"
Trail Running,2021-04-11 08:00:03,true,"Piatra Neamt Trail Running","52.50","3,726","07:29:05","133","158","5.0","139","256","8:33","4:49","1,797","1,251","0.83","10.3","8.1","345","47.4% L / 52.6% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","10.0","0:00","No","05:14.08.4","53","0.0","32","17","47","06:52:32","07:33:41","330","1,920"
Running,2021-04-10 12:42:32,true,"Piatra Neamt Running","3.20","245","00:22:13","130","142","2.3","164","174","6:56","5:42","141","1","0.88","10.2","8.8","280","46.3% L / 53.7% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","No","01:15.04","4","0.0","32","15","41","00:22:05","00:22:13","295","436"
Hiking,2021-04-09 17:30:53,true,"Piatra Neamt Hiking","8.65","678","01:53:38","85","118","2.0","105","250","13:08","7:38","406","409","0.72","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","13.0","0:00","No","01:53:37.66.6","1","0.0","23","14","34","01:49:14","01:53:38","323","626"
Cycling,2021-04-08 16:14:34,true,"Piatra Neamt Cycling","22.69","503","01:13:00","111","152","2.2","0","0","18.6","37.9","333","327","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","13.0","0:00","No","08:21.57.9","5","0.0","26","16","40","01:09:04","01:13:00","330","478"
Hiking,2021-04-07 18:14:04,true,"Piatra Neamt Hiking","5.30","425","01:05:21","100","137","1.8","110","246","12:19","7:56","259","258","0.74","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","9.0","0:00","No","01:05:20.85.4","1","0.0","--","--","--","01:04:46","01:05:21","346","606"
Cycling,2021-04-06 16:31:25,true,"Piatra Neamt Cycling","26.08","472","01:05:48","111","143","2.1","0","0","23.8","39.4","285","284","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","14.0","0:00","No","02:58.27.9","6","0.0","28","14","40","01:04:53","01:05:48","329","479"
Running,2021-04-05 17:14:39,true,"Piatra Neamt Running","13.07","826","01:14:24","138","160","3.3","170","189","5:41","4:47","265","266","1.03","8.2","8.6","265","46.9% L / 53.1% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","13.0","0:00","No","00:34.50.1","14","0.0","33","14","45","01:14:10","01:16:43","327","449"
Hiking,2021-04-04 13:11:58,true,"Piatra Neamt Hiking","7.20","567","01:30:06","86","111","2.0","107","247","12:31","9:36","341","335","0.75","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","13.0","0:00","No","01:30:05.62.1","1","0.0","22","11","32","01:26:41","01:30:06","346","650"
Trail Running,2021-04-02 15:35:53,true,"Piatra Neamt Trail Running","13.47","969","01:39:51","131","170","3.2","150","243","7:25","4:42","652","656","0.88","8.8","7.8","308","48.4% L / 51.6% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","13.0","0:00","No","02:32.01.1","14","0.0","31","14","43","01:38:00","01:39:51","330","645"
Cycling,2021-04-01 16:35:33,true,"Piatra Neamt Cycling","21.59","731","01:37:28","115","158","2.8","0","0","13.3","37.2","521","514","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","No","05:00.22.2","5","0.0","27","11","46","01:29:56","01:37:28","330","679"
